date,sector,energy_type,value_trillion_btu
1973-02-01 0:00,commercial,biomass,0.515
1974-02-01 0:00,commercial,biomass,0.538
1973-04-01 0:00,commercial,biomass,0.551
1973-06-01 0:00,commercial,biomass,0.551
1973-09-01 0:00,commercial,biomass,0.551
1973-11-01 0:00,commercial,biomass,0.551
1973-01-01 0:00,commercial,biomass,0.57
1973-03-01 0:00,commercial,biomass,0.57
1973-05-01 0:00,commercial,biomass,0.57
1973-07-01 0:00,commercial,biomass,0.57
1973-08-01 0:00,commercial,biomass,0.57
1973-10-01 0:00,commercial,biomass,0.57
1973-12-01 0:00,commercial,biomass,0.57
1974-04-01 0:00,commercial,biomass,0.577
1974-06-01 0:00,commercial,biomass,0.577
1974-09-01 0:00,commercial,biomass,0.577
1974-11-01 0:00,commercial,biomass,0.577
1974-01-01 0:00,commercial,biomass,0.596
1974-03-01 0:00,commercial,biomass,0.596
1974-05-01 0:00,commercial,biomass,0.596
1974-07-01 0:00,commercial,biomass,0.596
1974-08-01 0:00,commercial,biomass,0.596
1974-10-01 0:00,commercial,biomass,0.596
1974-12-01 0:00,commercial,biomass,0.596
1975-02-01 0:00,commercial,biomass,0.619
1975-04-01 0:00,commercial,biomass,0.663
1975-06-01 0:00,commercial,biomass,0.663
1975-09-01 0:00,commercial,biomass,0.663
1975-11-01 0:00,commercial,biomass,0.663
1975-01-01 0:00,commercial,biomass,0.685
1975-03-01 0:00,commercial,biomass,0.685
1975-05-01 0:00,commercial,biomass,0.685
1975-07-01 0:00,commercial,biomass,0.685
1975-08-01 0:00,commercial,biomass,0.685
1975-10-01 0:00,commercial,biomass,0.685
1975-12-01 0:00,commercial,biomass,0.685
1976-02-01 0:00,commercial,biomass,0.721
1976-04-01 0:00,commercial,biomass,0.746
1976-06-01 0:00,commercial,biomass,0.746
1976-09-01 0:00,commercial,biomass,0.746
1976-11-01 0:00,commercial,biomass,0.746
1976-01-01 0:00,commercial,biomass,0.771
1976-03-01 0:00,commercial,biomass,0.771
1976-05-01 0:00,commercial,biomass,0.771
1976-07-01 0:00,commercial,biomass,0.771
1976-08-01 0:00,commercial,biomass,0.771
1976-10-01 0:00,commercial,biomass,0.771
1976-12-01 0:00,commercial,biomass,0.771
1977-02-01 0:00,commercial,biomass,0.789
1977-04-01 0:00,commercial,biomass,0.845
1977-06-01 0:00,commercial,biomass,0.845
1977-09-01 0:00,commercial,biomass,0.845
1977-11-01 0:00,commercial,biomass,0.845
1977-01-01 0:00,commercial,biomass,0.874
1977-03-01 0:00,commercial,biomass,0.874
1977-05-01 0:00,commercial,biomass,0.874
1977-07-01 0:00,commercial,biomass,0.874
1977-08-01 0:00,commercial,biomass,0.874
1977-10-01 0:00,commercial,biomass,0.874
1977-12-01 0:00,commercial,biomass,0.874
1978-02-01 0:00,commercial,biomass,0.908
1978-04-01 0:00,commercial,biomass,0.973
1978-06-01 0:00,commercial,biomass,0.973
1978-09-01 0:00,commercial,biomass,0.973
1978-11-01 0:00,commercial,biomass,0.973
1978-01-01 0:00,commercial,biomass,1.005
1978-03-01 0:00,commercial,biomass,1.005
1978-05-01 0:00,commercial,biomass,1.005
1978-07-01 0:00,commercial,biomass,1.005
1978-08-01 0:00,commercial,biomass,1.005
1978-10-01 0:00,commercial,biomass,1.005
1978-12-01 0:00,commercial,biomass,1.005
1979-02-01 0:00,commercial,biomass,1.06
1979-04-01 0:00,commercial,biomass,1.135
1979-06-01 0:00,commercial,biomass,1.135
1979-09-01 0:00,commercial,biomass,1.135
1979-11-01 0:00,commercial,biomass,1.135
1979-01-01 0:00,commercial,biomass,1.173
1979-03-01 0:00,commercial,biomass,1.173
1979-05-01 0:00,commercial,biomass,1.173
1979-07-01 0:00,commercial,biomass,1.173
1979-08-01 0:00,commercial,biomass,1.173
1979-10-01 0:00,commercial,biomass,1.173
1979-12-01 0:00,commercial,biomass,1.173
1981-02-01 0:00,commercial,biomass,1.615
1980-02-01 0:00,commercial,biomass,1.664
1982-02-01 0:00,commercial,biomass,1.698
1983-02-01 0:00,commercial,biomass,1.709
1980-04-01 0:00,commercial,biomass,1.721
1980-06-01 0:00,commercial,biomass,1.721
1980-09-01 0:00,commercial,biomass,1.721
1980-11-01 0:00,commercial,biomass,1.721
1981-04-01 0:00,commercial,biomass,1.73
1981-06-01 0:00,commercial,biomass,1.73
1981-09-01 0:00,commercial,biomass,1.73
1981-11-01 0:00,commercial,biomass,1.73
1984-02-01 0:00,commercial,biomass,1.771
1980-01-01 0:00,commercial,biomass,1.779
1980-03-01 0:00,commercial,biomass,1.779
1980-05-01 0:00,commercial,biomass,1.779
1980-07-01 0:00,commercial,biomass,1.779
1980-08-01 0:00,commercial,biomass,1.779
1980-10-01 0:00,commercial,biomass,1.779
1980-12-01 0:00,commercial,biomass,1.779
1981-01-01 0:00,commercial,biomass,1.788
1981-03-01 0:00,commercial,biomass,1.788
1981-05-01 0:00,commercial,biomass,1.788
1981-07-01 0:00,commercial,biomass,1.788
1981-08-01 0:00,commercial,biomass,1.788
1981-10-01 0:00,commercial,biomass,1.788
1981-12-01 0:00,commercial,biomass,1.788
1982-04-01 0:00,commercial,biomass,1.819
1982-06-01 0:00,commercial,biomass,1.819
1982-09-01 0:00,commercial,biomass,1.819
1982-11-01 0:00,commercial,biomass,1.819
1983-04-01 0:00,commercial,biomass,1.831
1983-06-01 0:00,commercial,biomass,1.831
1983-09-01 0:00,commercial,biomass,1.831
1983-11-01 0:00,commercial,biomass,1.831
1984-04-01 0:00,commercial,biomass,1.832
1984-06-01 0:00,commercial,biomass,1.832
1984-09-01 0:00,commercial,biomass,1.832
1984-11-01 0:00,commercial,biomass,1.832
1985-02-01 0:00,commercial,biomass,1.87
1982-01-01 0:00,commercial,biomass,1.879
1982-03-01 0:00,commercial,biomass,1.879
1982-05-01 0:00,commercial,biomass,1.879
1982-07-01 0:00,commercial,biomass,1.879
1982-08-01 0:00,commercial,biomass,1.879
1982-10-01 0:00,commercial,biomass,1.879
1982-12-01 0:00,commercial,biomass,1.879
1983-01-01 0:00,commercial,biomass,1.891
1983-03-01 0:00,commercial,biomass,1.891
1983-05-01 0:00,commercial,biomass,1.891
1983-07-01 0:00,commercial,biomass,1.891
1983-08-01 0:00,commercial,biomass,1.891
1983-10-01 0:00,commercial,biomass,1.891
1983-12-01 0:00,commercial,biomass,1.891
1984-01-01 0:00,commercial,biomass,1.893
1984-03-01 0:00,commercial,biomass,1.893
1984-05-01 0:00,commercial,biomass,1.893
1984-07-01 0:00,commercial,biomass,1.893
1984-08-01 0:00,commercial,biomass,1.893
1984-10-01 0:00,commercial,biomass,1.893
1984-12-01 0:00,commercial,biomass,1.893
1999-08-01 0:00,commercial,biomass,10.006
2000-08-01 0:00,commercial,biomass,10.019
1999-03-01 0:00,commercial,biomass,10.05
2013-06-01 0:00,commercial,biomass,10.057
1996-04-01 0:00,commercial,biomass,10.058
1999-10-01 0:00,commercial,biomass,10.06
1998-03-01 0:00,commercial,biomass,10.069
1998-07-01 0:00,commercial,biomass,10.069
1998-08-01 0:00,commercial,biomass,10.087
2013-10-01 0:00,commercial,biomass,10.113
1997-02-01 0:00,commercial,biomass,10.136
2000-10-01 0:00,commercial,biomass,10.149
2013-03-01 0:00,commercial,biomass,10.177
2000-07-01 0:00,commercial,biomass,10.188
2014-09-01 0:00,commercial,biomass,10.225
2013-05-01 0:00,commercial,biomass,10.228
2013-12-01 0:00,commercial,biomass,10.285
1996-08-01 0:00,commercial,biomass,10.288
1999-07-01 0:00,commercial,biomass,10.288
2014-10-01 0:00,commercial,biomass,10.3
1999-04-01 0:00,commercial,biomass,10.306
2013-07-01 0:00,commercial,biomass,10.312
2013-08-01 0:00,commercial,biomass,10.323
2014-12-01 0:00,commercial,biomass,10.344
2021-02-01 0:00,commercial,biomass,10.344
1997-09-01 0:00,commercial,biomass,10.345
2014-03-01 0:00,commercial,biomass,10.354
2020-04-01 0:00,commercial,biomass,10.379
1998-10-01 0:00,commercial,biomass,10.38
1999-06-01 0:00,commercial,biomass,10.384
1996-05-01 0:00,commercial,biomass,10.409
2014-06-01 0:00,commercial,biomass,10.409
2000-04-01 0:00,commercial,biomass,10.432
1998-05-01 0:00,commercial,biomass,10.434
1997-01-01 0:00,commercial,biomass,10.435
2014-05-01 0:00,commercial,biomass,10.514
2000-03-01 0:00,commercial,biomass,10.649
1996-09-01 0:00,commercial,biomass,10.715
2014-08-01 0:00,commercial,biomass,10.719
1997-03-01 0:00,commercial,biomass,10.742
2014-07-01 0:00,commercial,biomass,10.786
1999-05-01 0:00,commercial,biomass,10.795
1997-06-01 0:00,commercial,biomass,10.797
1996-03-01 0:00,commercial,biomass,10.833
1997-11-01 0:00,commercial,biomass,10.895
1996-06-01 0:00,commercial,biomass,10.944
2000-05-01 0:00,commercial,biomass,10.958
2015-02-01 0:00,commercial,biomass,10.99
2014-01-01 0:00,commercial,biomass,11.051
2019-02-01 0:00,commercial,biomass,11.067
1996-11-01 0:00,commercial,biomass,11.112
2019-04-01 0:00,commercial,biomass,11.113
1998-12-01 0:00,commercial,biomass,11.129
1997-04-01 0:00,commercial,biomass,11.163
2021-04-01 0:00,commercial,biomass,11.18
2020-11-01 0:00,commercial,biomass,11.19
2020-09-01 0:00,commercial,biomass,11.196
1997-07-01 0:00,commercial,biomass,11.225
2020-02-01 0:00,commercial,biomass,11.252
1997-08-01 0:00,commercial,biomass,11.284
1997-12-01 0:00,commercial,biomass,11.288
2018-02-01 0:00,commercial,biomass,11.308
2020-10-01 0:00,commercial,biomass,11.359
2019-09-01 0:00,commercial,biomass,11.371
2017-02-01 0:00,commercial,biomass,11.375
2020-05-01 0:00,commercial,biomass,11.416
1997-10-01 0:00,commercial,biomass,11.418
2019-05-01 0:00,commercial,biomass,11.434
2021-01-01 0:00,commercial,biomass,11.436
2019-11-01 0:00,commercial,biomass,11.44
2021-11-01 0:00,commercial,biomass,11.451
2020-06-01 0:00,commercial,biomass,11.467
1996-12-01 0:00,commercial,biomass,11.471
1996-07-01 0:00,commercial,biomass,11.495
2020-12-01 0:00,commercial,biomass,11.505
2021-05-01 0:00,commercial,biomass,11.527
2019-06-01 0:00,commercial,biomass,11.539
2020-03-01 0:00,commercial,biomass,11.541
2016-02-01 0:00,commercial,biomass,11.543
1997-05-01 0:00,commercial,biomass,11.554
2021-06-01 0:00,commercial,biomass,11.566
2021-09-01 0:00,commercial,biomass,11.608
2018-09-01 0:00,commercial,biomass,11.621
2017-09-01 0:00,commercial,biomass,11.66
2021-03-01 0:00,commercial,biomass,11.66
2021-10-01 0:00,commercial,biomass,11.664
1996-10-01 0:00,commercial,biomass,11.709
2020-08-01 0:00,commercial,biomass,11.719
2019-10-01 0:00,commercial,biomass,11.734
2020-07-01 0:00,commercial,biomass,11.753
2019-07-01 0:00,commercial,biomass,11.768
2019-12-01 0:00,commercial,biomass,11.802
2019-08-01 0:00,commercial,biomass,11.864
2018-04-01 0:00,commercial,biomass,11.882
2015-04-01 0:00,commercial,biomass,11.888
2021-12-01 0:00,commercial,biomass,11.894
2017-04-01 0:00,commercial,biomass,11.909
2019-03-01 0:00,commercial,biomass,11.926
2016-04-01 0:00,commercial,biomass,11.956
2018-11-01 0:00,commercial,biomass,11.99
2015-11-01 0:00,commercial,biomass,12.001
2015-06-01 0:00,commercial,biomass,12.052
2021-08-01 0:00,commercial,biomass,12.069
2015-10-01 0:00,commercial,biomass,12.102
2017-10-01 0:00,commercial,biomass,12.109
2017-06-01 0:00,commercial,biomass,12.135
2020-01-01 0:00,commercial,biomass,12.135
2019-01-01 0:00,commercial,biomass,12.147
2015-01-01 0:00,commercial,biomass,12.151
2016-09-01 0:00,commercial,biomass,12.166
2021-07-01 0:00,commercial,biomass,12.167
2018-06-01 0:00,commercial,biomass,12.182
2017-11-01 0:00,commercial,biomass,12.186
2016-11-01 0:00,commercial,biomass,12.202
2015-03-01 0:00,commercial,biomass,12.203
2015-09-01 0:00,commercial,biomass,12.22
2017-03-01 0:00,commercial,biomass,12.246
2018-10-01 0:00,commercial,biomass,12.246
2016-10-01 0:00,commercial,biomass,12.263
2015-05-01 0:00,commercial,biomass,12.266
2016-01-01 0:00,commercial,biomass,12.287
2016-06-01 0:00,commercial,biomass,12.291
2016-05-01 0:00,commercial,biomass,12.357
2015-12-01 0:00,commercial,biomass,12.367
2017-05-01 0:00,commercial,biomass,12.402
2016-03-01 0:00,commercial,biomass,12.403
2018-03-01 0:00,commercial,biomass,12.464
2017-07-01 0:00,commercial,biomass,12.469
2018-01-01 0:00,commercial,biomass,12.469
2018-07-01 0:00,commercial,biomass,12.487
2015-08-01 0:00,commercial,biomass,12.491
2018-05-01 0:00,commercial,biomass,12.514
