date,sector,energy_type,value_trillion_btu
1973-01-01 0:00,electric power,biomass,0.211
1973-02-01 0:00,electric power,biomass,0.301
1973-03-01 0:00,electric power,biomass,0.362
1973-04-01 0:00,electric power,biomass,0.24
1973-05-01 0:00,electric power,biomass,0.258
1973-06-01 0:00,electric power,biomass,0.215
1973-07-01 0:00,electric power,biomass,0.21
1973-08-01 0:00,electric power,biomass,0.341
1973-09-01 0:00,electric power,biomass,0.385
1973-10-01 0:00,electric power,biomass,0.393
1973-11-01 0:00,electric power,biomass,0.246
1973-12-01 0:00,electric power,biomass,0.248
1974-01-01 0:00,electric power,biomass,0.263
1974-02-01 0:00,electric power,biomass,0.181
1974-03-01 0:00,electric power,biomass,0.184
1974-04-01 0:00,electric power,biomass,0.25
1974-05-01 0:00,electric power,biomass,0.245
1974-06-01 0:00,electric power,biomass,0.279
1974-07-01 0:00,electric power,biomass,0.213
1974-08-01 0:00,electric power,biomass,0.22
1974-09-01 0:00,electric power,biomass,0.304
1974-10-01 0:00,electric power,biomass,0.174
1974-11-01 0:00,electric power,biomass,0.174
1974-12-01 0:00,electric power,biomass,0.13
1975-01-01 0:00,electric power,biomass,0.148
1975-02-01 0:00,electric power,biomass,0.124
1975-03-01 0:00,electric power,biomass,0.13
1975-04-01 0:00,electric power,biomass,0.119
1975-05-01 0:00,electric power,biomass,0.182
1975-06-01 0:00,electric power,biomass,0.221
1975-07-01 0:00,electric power,biomass,0.167
1975-08-01 0:00,electric power,biomass,0.201
1975-09-01 0:00,electric power,biomass,0.19
1975-10-01 0:00,electric power,biomass,0.191
1975-11-01 0:00,electric power,biomass,0.16
1975-12-01 0:00,electric power,biomass,0.156
1976-01-01 0:00,electric power,biomass,0.162
1976-02-01 0:00,electric power,biomass,0.155
1976-03-01 0:00,electric power,biomass,0.163
1976-04-01 0:00,electric power,biomass,0.149
1976-05-01 0:00,electric power,biomass,0.159
1976-06-01 0:00,electric power,biomass,0.191
1976-07-01 0:00,electric power,biomass,0.2
1976-08-01 0:00,electric power,biomass,0.223
1976-09-01 0:00,electric power,biomass,0.222
1976-10-01 0:00,electric power,biomass,0.226
1976-11-01 0:00,electric power,biomass,0.438
1976-12-01 0:00,electric power,biomass,0.476
1977-01-01 0:00,electric power,biomass,0.514
1977-02-01 0:00,electric power,biomass,0.538
1977-03-01 0:00,electric power,biomass,0.511
1977-04-01 0:00,electric power,biomass,0.477
1977-05-01 0:00,electric power,biomass,0.48
1977-06-01 0:00,electric power,biomass,0.47
1977-07-01 0:00,electric power,biomass,0.214
1977-08-01 0:00,electric power,biomass,0.375
1977-09-01 0:00,electric power,biomass,0.427
1977-10-01 0:00,electric power,biomass,0.466
1977-11-01 0:00,electric power,biomass,0.317
1977-12-01 0:00,electric power,biomass,0.229
1978-01-01 0:00,electric power,biomass,0.368
1978-02-01 0:00,electric power,biomass,0.346
1978-03-01 0:00,electric power,biomass,0.376
1978-04-01 0:00,electric power,biomass,0.162
1978-05-01 0:00,electric power,biomass,0.164
1978-06-01 0:00,electric power,biomass,0.153
1978-07-01 0:00,electric power,biomass,0.152
1978-08-01 0:00,electric power,biomass,0.429
1978-09-01 0:00,electric power,biomass,0.268
1978-10-01 0:00,electric power,biomass,0.409
1978-11-01 0:00,electric power,biomass,0.371
1978-12-01 0:00,electric power,biomass,0.301
1979-01-01 0:00,electric power,biomass,0.273
