date,sector,energy_type,value_trillion_btu
1973-01-01 0:00,transportation,biomass,0
1973-02-01 0:00,transportation,biomass,0
1973-03-01 0:00,transportation,biomass,0
1973-04-01 0:00,transportation,biomass,0
1973-05-01 0:00,transportation,biomass,0
1973-06-01 0:00,transportation,biomass,0
1973-07-01 0:00,transportation,biomass,0
1973-08-01 0:00,transportation,biomass,0
1973-09-01 0:00,transportation,biomass,0
1973-10-01 0:00,transportation,biomass,0
1973-11-01 0:00,transportation,biomass,0
1973-12-01 0:00,transportation,biomass,0
1974-01-01 0:00,transportation,biomass,0
1974-02-01 0:00,transportation,biomass,0
1974-03-01 0:00,transportation,biomass,0
1974-04-01 0:00,transportation,biomass,0
1974-05-01 0:00,transportation,biomass,0
1974-06-01 0:00,transportation,biomass,0
1974-07-01 0:00,transportation,biomass,0
1974-08-01 0:00,transportation,biomass,0
1974-09-01 0:00,transportation,biomass,0
1974-10-01 0:00,transportation,biomass,0
1974-11-01 0:00,transportation,biomass,0
1974-12-01 0:00,transportation,biomass,0
1975-01-01 0:00,transportation,biomass,0
1975-02-01 0:00,transportation,biomass,0
1975-03-01 0:00,transportation,biomass,0
1975-04-01 0:00,transportation,biomass,0
1975-05-01 0:00,transportation,biomass,0
1975-06-01 0:00,transportation,biomass,0
1975-07-01 0:00,transportation,biomass,0
1975-08-01 0:00,transportation,biomass,0
1975-09-01 0:00,transportation,biomass,0
1975-10-01 0:00,transportation,biomass,0
1975-11-01 0:00,transportation,biomass,0
1975-12-01 0:00,transportation,biomass,0
1976-01-01 0:00,transportation,biomass,0
1976-02-01 0:00,transportation,biomass,0
1976-03-01 0:00,transportation,biomass,0
1976-04-01 0:00,transportation,biomass,0
1976-05-01 0:00,transportation,biomass,0
1976-06-01 0:00,transportation,biomass,0
1976-07-01 0:00,transportation,biomass,0
1976-08-01 0:00,transportation,biomass,0
1976-09-01 0:00,transportation,biomass,0
1976-10-01 0:00,transportation,biomass,0
1976-11-01 0:00,transportation,biomass,0
1976-12-01 0:00,transportation,biomass,0
1977-01-01 0:00,transportation,biomass,0
1977-02-01 0:00,transportation,biomass,0
1977-03-01 0:00,transportation,biomass,0
1977-04-01 0:00,transportation,biomass,0
1977-05-01 0:00,transportation,biomass,0
1977-06-01 0:00,transportation,biomass,0
1977-07-01 0:00,transportation,biomass,0
1977-08-01 0:00,transportation,biomass,0
1977-09-01 0:00,transportation,biomass,0
1977-10-01 0:00,transportation,biomass,0
1977-11-01 0:00,transportation,biomass,0
1977-12-01 0:00,transportation,biomass,0
1978-01-01 0:00,transportation,biomass,0
1978-02-01 0:00,transportation,biomass,0
1978-03-01 0:00,transportation,biomass,0
1978-04-01 0:00,transportation,biomass,0
1978-05-01 0:00,transportation,biomass,0
1978-06-01 0:00,transportation,biomass,0
1978-07-01 0:00,transportation,biomass,0
1978-08-01 0:00,transportation,biomass,0
1978-09-01 0:00,transportation,biomass,0
1978-10-01 0:00,transportation,biomass,0
1978-11-01 0:00,transportation,biomass,0
1978-12-01 0:00,transportation,biomass,0
1979-01-01 0:00,transportation,biomass,0
1979-02-01 0:00,transportation,biomass,0
1979-03-01 0:00,transportation,biomass,0
1979-04-01 0:00,transportation,biomass,0
1979-05-01 0:00,transportation,biomass,0
1979-06-01 0:00,transportation,biomass,0
1979-07-01 0:00,transportation,biomass,0
1979-08-01 0:00,transportation,biomass,0
1979-09-01 0:00,transportation,biomass,0
1979-10-01 0:00,transportation,biomass,0
1979-11-01 0:00,transportation,biomass,0
1979-12-01 0:00,transportation,biomass,0
1980-01-01 0:00,transportation,biomass,0
1980-02-01 0:00,transportation,biomass,0
1980-03-01 0:00,transportation,biomass,0
1980-04-01 0:00,transportation,biomass,0
1980-05-01 0:00,transportation,biomass,0
1980-06-01 0:00,transportation,biomass,0
1980-07-01 0:00,transportation,biomass,0
1980-08-01 0:00,transportation,biomass,0
1980-09-01 0:00,transportation,biomass,0
1980-10-01 0:00,transportation,biomass,0
1980-11-01 0:00,transportation,biomass,0
1980-12-01 0:00,transportation,biomass,0
1981-02-01 0:00,transportation,biomass,0.516
1981-04-01 0:00,transportation,biomass,0.553
1981-06-01 0:00,transportation,biomass,0.553
1981-09-01 0:00,transportation,biomass,0.553
1981-11-01 0:00,transportation,biomass,0.553
1981-01-01 0:00,transportation,biomass,0.571
1981-03-01 0:00,transportation,biomass,0.571
1981-05-01 0:00,transportation,biomass,0.571
1981-07-01 0:00,transportation,biomass,0.571
1981-08-01 0:00,transportation,biomass,0.571
1981-10-01 0:00,transportation,biomass,0.571
1981-12-01 0:00,transportation,biomass,0.571
1982-02-01 0:00,transportation,biomass,1.403
1982-04-01 0:00,transportation,biomass,1.503
1982-06-01 0:00,transportation,biomass,1.503
1982-09-01 0:00,transportation,biomass,1.503
1982-11-01 0:00,transportation,biomass,1.503
1982-01-01 0:00,transportation,biomass,1.553
1982-03-01 0:00,transportation,biomass,1.553
1982-05-01 0:00,transportation,biomass,1.553
1982-07-01 0:00,transportation,biomass,1.553
1982-08-01 0:00,transportation,biomass,1.553
1982-10-01 0:00,transportation,biomass,1.553
1982-12-01 0:00,transportation,biomass,1.553
1996-01-01 0:00,transportation,biomass,10.006
1995-12-01 0:00,transportation,biomass,10.084
1994-01-01 0:00,transportation,biomass,10.16
1995-06-01 0:00,transportation,biomass,10.163
2001-04-01 0:00,transportation,biomass,10.24
1999-01-01 0:00,transportation,biomass,10.305
1995-03-01 0:00,transportation,biomass,10.344
1994-10-01 0:00,transportation,biomass,10.447
1994-12-01 0:00,transportation,biomass,10.559
1998-01-01 0:00,transportation,biomass,10.568
2000-07-01 0:00,transportation,biomass,10.646
2002-03-01 0:00,transportation,biomass,10.687
1998-10-01 0:00,transportation,biomass,10.779
2001-05-01 0:00,transportation,biomass,10.805
2000-09-01 0:00,transportation,biomass,10.807
2014-01-01 0:00,transportation,biomass,100.134
2012-10-01 0:00,transportation,biomass,100.705
2021-02-01 0:00,transportation,biomass,100.85
2011-10-01 0:00,transportation,biomass,100.905
2021-01-01 0:00,transportation,biomass,101.911
2013-03-01 0:00,transportation,biomass,102.172
2018-02-01 0:00,transportation,biomass,102.213
2017-02-01 0:00,transportation,biomass,102.934
2012-06-01 0:00,transportation,biomass,102.953
2013-04-01 0:00,transportation,biomass,102.975
2011-06-01 0:00,transportation,biomass,103.098
2020-03-01 0:00,transportation,biomass,103.292
2016-01-01 0:00,transportation,biomass,103.351
2020-05-01 0:00,transportation,biomass,104.737
2012-05-01 0:00,transportation,biomass,105.004
2014-03-01 0:00,transportation,biomass,105.564
2011-12-01 0:00,transportation,biomass,106.337
2014-04-01 0:00,transportation,biomass,106.344
2012-08-01 0:00,transportation,biomass,106.48
2015-04-01 0:00,transportation,biomass,107.542
2013-05-01 0:00,transportation,biomass,107.594
2011-08-01 0:00,transportation,biomass,107.972
2016-02-01 0:00,transportation,biomass,108.348
2015-03-01 0:00,transportation,biomass,109.353
2017-01-01 0:00,transportation,biomass,109.496
2014-09-01 0:00,transportation,biomass,109.551
1997-10-01 0:00,transportation,biomass,11.012
1997-12-01 0:00,transportation,biomass,11.203
1995-10-01 0:00,transportation,biomass,11.239
2001-09-01 0:00,transportation,biomass,11.258
